№,Вид транспортного средства,Тип объекта,Наименование остановки,Официальное наименование,Расположение,Маршруты,Координаты
7370,Автобус,Остановка,УНИВЕРСАМ,УНИВЕРСАМ,Бухарестская улица,54,"59.862155026499501,30.3888855"
7371,Автобус,Остановка,"СТ. МЕТРО ""РЫБАЦКОЕ"", ВЫСАДКА","СТ. МЕТРО ""РЫБАЦКОЕ"", ВЫСАДКА","3-й Рыбацкий проезд, Тепловозная улица",396А,"59.83059035478535,30.5003166"
7372,Автобус,Остановка,"СТ. МЕТРО ""РЫБАЦКОЕ""","СТ. МЕТРО ""РЫБАЦКОЕ""","3-й Рыбацкий проезд, Тепловозная улица",396А,"59.830610950196345,30.4998817"
7373,Автобус,Остановка,НАБ.Р.ФОНТАНКИ,НАБ.Р.ФОНТАНКИ,"Лермонтовский проспект, набережная реки Фонтанки",100,"59.917728617931104,30.2970257"
7374,Автобус,Остановка,УЛ. ЛАБУТИНА,УЛ. ЛАБУТИНА,"Лермонтовский проспект, улица Лабутина",100,"59.918512609633417,30.2959404"
7398,Автобус,Остановка,"АЭРОПОРТ ""ПУЛКОВО 1"", ПОСАДКА","АЭРОПОРТ ""ПУЛКОВО 1"", ПОСАДКА",,"39, 39Э","59.799655412233676,30.2734585"
7481,Автобус,Остановка,"АЭРОПОРТ ""ПУЛКОВО 1"", ПОСАДКИ НЕТ","АЭРОПОРТ ""ПУЛКОВО 1"", ПОСАДКИ НЕТ",,"39, 39Э","59.799882171442157,30.2734547"
7495,Автобус,Остановка,УЛ. ЛЕНИНА,УЛ. ЛЕНИНА,"Улица Ленина, 2-й Бадаевский проезд",197А,"59.81167839468349,30.4183369"
7496,Автобус,Остановка,ОРАНИЕНБАУМСКИЙ СПУСК,ОРАНИЕНБАУМСКИЙ СПУСК,"Собственный проспект, Ораниенбаумский спуск","103, 351А, 353, 356Ш","59.889345240614034,29.8760166"
7506,Автобус,Остановка,БОБЫЛЬСКАЯ ДОРОГА,БОБЫЛЬСКАЯ ДОРОГА,"Бобыльская дорога, Собственный проспект","103, 351А, 353, 356Ш","59.890763786460376,29.860878"
7507,Автобус,Остановка,"СОБСТВЕННЫЙ ПР., 34","СОБСТВЕННЫЙ ПР., 34","Собственный проспект, Бобыльская дорога","103, 349, 351Б, 356Ш","59.891137258266241,29.8617897"
7508,Автобус,Остановка,УЛ. БЕЛОВОЙ,УЛ. БЕЛОВОЙ,"Бобыльская дорога, улица Беловой","103, 351А, 353, 356Ш","59.887642220317318,29.858675"
7509,Автобус,Остановка,УЛ. БЕЛОВОЙ,УЛ. БЕЛОВОЙ,"Бобыльская дорога, улица Беловой","103, 349, 351Б, 356Ш","59.88805684697909,29.8592796"
7510,Автобус,Остановка,БОБЫЛЬСКАЯ ДОРОГА,БОБЫЛЬСКАЯ ДОРОГА,"Бобыльская дорога, улица Халтурина","103, 349, 351Б, 356Ш","59.882748549547813,29.8555565"
7513,Автобус,Остановка,"УЛ. САВУШКИНА, 115","УЛ. САВУШКИНА, 115","Приморский путепровод, улица Савушкина","112, 211, 216А, 93","59.984930497013139,30.2318802"
7514,Автобус,Остановка,ЯХТЕННАЯ УЛ.,ЯХТЕННАЯ УЛ.,"Богатырский проспект, Яхтенная улица","180, 184","60.004891381504109,30.2254181"
7515,Автобус,Остановка,ПЛАНЕРНАЯ УЛ.,ПЛАНЕРНАЯ УЛ.,"Богатырский проспект, Планерная улица","180, 184","60.003484540517796,30.2358551"
7516,Автобус,Остановка,ПЛАНЕРНАЯ УЛ.,ПЛАНЕРНАЯ УЛ.,"Богатырский проспект, Планерная улица","180, 184","60.003887476818349,30.2370148"
7545,Автобус,Остановка,"БОГАТЫРСКИЙ ПР., УГОЛ СТАРОДЕРЕВЕНСКОЙ УЛ.","БОГАТЫРСКИЙ ПР., УГОЛ СТАРОДЕРЕВЕНСКОЙ УЛ.","Богатырский проспект, Стародеревенская улица","180, 184","60.002805001230143,30.2445965"
7546,Автобус,Остановка,СТАРОДЕРЕВЕНСКАЯ УЛ.,СТАРОДЕРЕВЕНСКАЯ УЛ.,"Богатырский проспект, Стародеревенская улица",184,"60.002207404892289,30.2463284"
7549,Автобус,Остановка,ПР. КОРОЛЁВА,ПР. КОРОЛЁВА,"Долгоозёрная улица, проспект Королёва","180, 184","60.019058894394071,30.2576466"
7620,Автобус,Остановка,"БОГАТЫРСКИЙ ПР., УГОЛ ГАККЕЛЕВСКОЙ УЛ.","БОГАТЫРСКИЙ ПР., УГОЛ ГАККЕЛЕВСКОЙ УЛ.","Богатырский проспект, Гаккелевская улица",184,"60.001480030210011,30.2548637"
7621,Автобус,Остановка,"БЕЛОРУССКАЯ УЛ., 26","БЕЛОРУССКАЯ УЛ., 26","Белорусская улица, улица Коммуны","169, 24, 28","59.942964533781065,30.5024261"
7868,Автобус,Остановка,АВТОВСКАЯ УЛ. 2,АВТОВСКАЯ УЛ. 2,"Автовская улица, улица Червонного Казачества",66,"59.865632171105695,30.2631416"
7869,Автобус,Остановка,"ДЕР. ГОСТИЛИЦЫ, АЗС","ДЕР. ГОСТИЛИЦЫ, АЗС",Гостилицкое шоссе,"463, 463А, 489, 682, 683, 683А, 684, 685А, 686","59.744896075480497,29.6224651"
7974,Автобус,Остановка,"ТИХОРЕЦКИЙ ПР.,УГ. СЕВЕРНОГО ПР.","ТИХОРЕЦКИЙ ПР.,УГ. СЕВЕРНОГО ПР.","Северный проспект, проспект Культуры","143, 270","60.03230941045399,30.3640499"
7975,Автобус,Остановка,"ПЕТЕРГОФСКОЕ ШОССЕ, УГ. УЛ. ПАРТИЗАНА ГЕРМАНА",ПЕТЕРГОФСКОЕ ШОССЕ,"Петергофское шоссе, улица Доблести",260,"59.847103784173171,30.1770611"
7976,Автобус,Остановка,"ПЕТРО-СЛАВЯНКА, УЛ. 3 ПЯТИЛЕТКИ","ПЕТРО-СЛАВЯНКА, УЛ. 3 ПЯТИЛЕТКИ","Улица 3-й Пятилетки, Вокзальная улица",396А,"59.800978152546158,30.5234642"
7977,Автобус,Остановка,"САПЕРНАЯ УЛ.,30 - ПО ТРЕБОВАНИЮ","САПЕРНАЯ УЛ.,30 - ПО ТРЕБОВАНИЮ","Сапёрная улица, Огородная улица","186, 252, 273, 376, 382","59.701385723743172,30.3989792"
2318,Автобус,Остановка,"ПЕТЕРГОФСКОЕ ШОССЕ, 73","ПЕТЕРГОФСКОЕ ШОССЕ, 73",,68,"59.85471600856085,30.1248398"
2319,Автобус,Остановка,КОННАЯ УЛ.,КОННАЯ УЛ.,"Исполкомская улица, Конная улица","132, 169А, 46, 55","59.927214016189794,30.3803501"
2320,Автобус,Остановка,ДОРОГА НА КАНОНЕРСКИЙ ОСТРОВ,ДОРОГА НА КАНОНЕРСКИЙ ОСТРОВ,"Двинская улица, Невельская улица","35, 66, 67, 70, 71","59.904052002491269,30.234396"
2321,Автобус,Остановка,"БУЛЬВАР РАЗВЕДЧИКА, 10","БУЛЬВАР РАЗВЕДЧИКА, 10","Бульвар Разведчика, Мастеровой переулок","354, 355","59.877792459524557,29.8955975"
2322,Автобус,Остановка,ТУРИСТСКАЯ УЛ.,ТУРИСТСКАЯ УЛ.,"Туристская улица, Приморский проспект","112, 120, 216, 303","59.985015913167601,30.2011089"
2323,Автобус,Остановка,СИНЯВИНСКАЯ УЛ.,СИНЯВИНСКАЯ УЛ.,"Среднеохтинский проспект, Синявинская улица","174, 183, 206, 22, 222","59.957206440980094,30.4152451"
2324,Автобус,Остановка,СЕРДОБОЛЬСКАЯ УЛ.,СЕРДОБОЛЬСКАЯ УЛ.,"Белоостровская улица, Сердобольская улица","137, 237, 25, 267, 33, 46","59.987427974365808,30.3151798"
2325,Автобус,Остановка,"БЕЛОРУССКАЯ УЛ., 12","БЕЛОРУССКАЯ УЛ., 12","Белорусская улица, Ленская улица","153, 174","59.939108863457868,30.5013199"
2326,Автобус,Остановка,ДОРОГА В КАМЕНКУ ПО ТРЕБОВАНИЮ,ДОРОГА В КАМЕНКУ ПО ТРЕБОВАНИЮ,"Парашютная улица, дорога в Каменку","180, 194, 219, 267","60.052132602772687,30.2271042"
2327,Автобус,Остановка,"ДОРОГА К ЗАВОДУ ""НИССАН""","ДОРОГА К ЗАВОДУ ""НИССАН""","Комендантский проспект, Парашютная улица","194, 207","60.064221225515439,30.1924725"
2328,Автобус,Остановка,"ООО""ХЕНДЭ МОТОР МАНУФАКТУРИНГ РУС""","ООО""ХЕНДЭ МОТОР МАНУФАКТУРИНГ РУС""","Горское шоссе, Коннолахтинская дорога",194,"60.058511556488206,30.1286812"
2329,Автобус,ДС,"ООО""ХЕНДЭ МОТОР МАНУФАКТУРИНГ РУС"" (ПОСАДКИ И ВЫСАДКИ НЕТ)","ООО""ХЕНДЭ МОТОР МАНУФАКТУРИНГ РУС"" (ПОСАДКИ И ВЫСАДКИ НЕТ)","Горское шоссе, Коннолахтинская дорога",194,"60.059091090332117,30.1277351"
2330,Автобус,Остановка,"ООО""ХЕНДЭ МОТОР МАНУФАКТУРИНГ РУС""","ООО""ХЕНДЭ МОТОР МАНУФАКТУРИНГ РУС""","Горское шоссе, Коннолахтинская дорога",194,"60.058559283189311,30.127739"
2331,Автобус,Остановка,ШУВАЛОВСКИЙ ПР.,ШУВАЛОВСКИЙ ПР.,"Парашютная улица, Шуваловский проспект","135, 171, 180, 194, 219, 267, 9","60.031951173832958,30.2510204"
2332,Автобус,Остановка,ДОЛГООЗЁРНАЯ УЛ.,ДОЛГООЗЁРНАЯ УЛ.,"Парашютная улица, Долгоозёрная улица","135, 171, 180, 194, 219, 267, 9","60.021608402053545,30.263998"
2333,Автобус,Остановка,ДОРОГА В КАМЕНКУ,ДОРОГА В КАМЕНКУ,"Парашютная улица, дорога в Каменку","194, 207","60.053595336581289,30.227026"
2334,Автобус,Остановка,"ДОРОГА К ЗАВОДУ ""НИССАН""","ДОРОГА К ЗАВОДУ ""НИССАН""",Комендантский проспект,"194, 207","60.065052879938413,30.1925545"
2335,Автобус,Остановка,"УЛ. КРЖИЖАНОВСКОГО, Д.5","УЛ. КРЖИЖАНОВСКОГО, Д.5","Улица Кржижановского, Российский путепровод","161, 169","59.932504943892731,30.4705124"
2336,Автобус,Остановка,"УЛ. КРЖИЖАНОВСКОГО, 3","УЛ. КРЖИЖАНОВСКОГО, 3",Улица Кржижановского,"161, 169","59.930735691349525,30.4642086"
2337,Автобус,Остановка,"КУБИНСКАЯ УЛ., УГ. УЛ. КОСТЮШКО","КУБИНСКАЯ УЛ., УГ. УЛ. КОСТЮШКО (62, 63)","Улица Костюшко, Кубинская улица",13А,"59.848170766868748,30.2923374"
2338,Троллейбус,Остановка,"Ст. Метро ""Купчино""","Ст. Метро ""Купчино""","Улица Ярослава Гашека, Балканская улица","39, 47","59.830130387288087,30.3809681"
2339,Троллейбус,Остановка,Сызранская ул. (посадки нет),Сызранская ул. (посадки нет),"Улица Решетникова, Сызранская улица",15,"59.878892734194636,30.3357697"
2340,Троллейбус,Остановка,"Ст. Метро ""Площадь Ленина""","Ст. Метро ""Площадь Ленина""","Площадь Ленина, улица Комсомола","38, 43","59.956006170553366,30.3556519"
2341,Трамвай,Остановка,Пр. Культуры,Пр. Культуры,"Придорожная аллея, Суздальский проспект","20, 58","60.052129193061042,30.3779984"
2342,Автобус,Остановка,КРАСНОГВАРДЕЙСКАЯ ПЛ.,КРАСНОГВАРДЕЙСКАЯ ПЛ.,"Красногвардейская площадь, Якорная улица","132, 21, 295, 5","59.943070584038132,30.4133224"
2343,Автобус,Остановка,СРЕДНЯЯ УЛ.,СРЕДНЯЯ УЛ.,"Средняя улица, Леонтьевская улица","236, 382, 385","59.717611870122248,30.4015102"
2344,Троллейбус,Остановка,"Ст. Метро ""Электросила""","Ст. Метро ""Электросила""","Московский проспект, Мариинская улица",15,"59.881178858256263,30.3194962"
2345,Троллейбус,Остановка,"Ул. Композиторов, 29","Ул. Композиторов, 29",Улица Композиторов,21,"60.060686460341735,30.3171673"
2346,Автобус,Остановка,УЛ. ПОЛЯРНИКОВ,УЛ. ПОЛЯРНИКОВ,"Улица Полярников, улица Седова","118, 119, 157, 228, 476, 8, 97","59.875684354926051,30.4356232"
2347,Автобус,Остановка,РАССТАННАЯ УЛ.,РАССТАННАЯ УЛ.,"Лиговский проспект, Расстанная улица","26, 3","59.906719966935668,30.3449974"
2348,Автобус,Остановка,"ЛИГОВСКИЙ ПР., УГ. РАССТАННОЙ УЛ.","ЛИГОВСКИЙ ПР., УГ. РАССТАННОЙ УЛ.","Расстанная улица, Лиговский проспект","141, 54, 91","59.907463122966469,30.3465748"
